,Make,Model,Sale Price,Resell Price,Top Speed,0-60 Time,Country,City,Color,Buyer Gender,Buyer Age
3065,Pontiac,Gemini,68284.67,34970.22,245.5,9.1,China,Doushaguan,Fuscia,Male,28
3066,Audi,A3,98325.95,26579.06,219.6,8.2,Brazil,Morada Nova,Turquoise,Female,26
3067,Volvo,S60,33055.92,34904.56,241.6,12.6,United States,Jacksonville,Indigo,Male,71
3068,Volvo,S60,63510.25,41498.89,161.4,10.0,Russia,Bilyarsk,Green,Male,52
3069,Lexus,ES,94932.4,4096.64,213.7,2.6,Zambia,Mpongwe,Mauv,Male,38
3070,Suzuki,Sidekick,22169.36,45014.47,197.4,6.7,Finland,Honkajoki,Aquamarine,Male,31
3071,Hummer,H3,88326.24,33235.68,190.3,10.9,China,Dukou,Goldenrod,Female,65
3072,BMW,7 Series,27232.54,35587.49,222.0,14.3,Tajikistan,Abdurahmoni Jomí,Indigo,Male,69
3073,Lexus,LS,99332.89,23986.91,208.3,8.2,France,Niort,Yellow,Male,74
3074,GMC,Canyon,52247.85,28669.73,242.6,11.6,Portugal,Silgueiros,Yellow,Male,43
3075,Dodge,Ram 1500,24678.48,27075.55,248.9,3.8,Indonesia,Cikuray,Maroon,Female,62
3076,Volkswagen,Jetta,78141.61,46793.99,122.1,9.3,Croatia,Tovarnik,Pink,Male,37
3077,Volkswagen,Passat,30665.66,15769.73,219.1,8.2,Philippines,Del Monte,Maroon,Female,74
3078,Alfa Romeo,164,89148.38,12752.81,232.0,5.0,China,Pengfang,Violet,Male,46
3079,Dodge,Neon,42659.93,44655.23,155.9,6.2,Indonesia,Malunda,Yellow,Female,48
3080,Land Rover,Discovery,82725.0,31570.07,203.7,13.3,Indonesia,Karangbaru,Indigo,Female,66
3081,GMC,Sonoma,31629.98,28745.74,146.9,14.8,Argentina,General Enrique Mosconi,Turquoise,Female,21
3082,Ford,Mustang,64673.5,29682.63,207.6,7.7,China,Jiantang,Yellow,Female,60
3083,Ford,F350,24545.32,41992.27,234.4,5.0,Yemen,Ku‘aydinah,Green,Male,32
3084,Hyundai,Accent,40483.0,34466.37,124.9,12.0,Russia,Novopavlovsk,Orange,Female,28
3085,Ford,Ranger,27622.3,44493.76,181.0,13.6,China,Guankou,Indigo,Female,28
3086,Ford,Ranger,16473.33,7770.08,225.6,5.8,China,Xiping,Aquamarine,Female,59
3087,Suzuki,SX4,79655.48,5507.46,127.2,3.9,Philippines,Aglalana,Khaki,Female,61
3088,Lexus,ES,28816.53,14415.69,149.8,7.9,Brazil,Bambuí,Yellow,Male,46
3089,Oldsmobile,Silhouette,43599.76,15672.18,132.1,8.1,China,Nanlin,Blue,Male,56
3090,Mercedes-Benz,SLK-Class,52823.18,2783.16,162.0,8.8,Chad,Dourbali,Violet,Male,58
3091,Ford,Mustang,76445.62,39560.95,245.6,11.2,China,Miaoshi,Turquoise,Female,56
3092,Buick,Lucerne,67811.23,26996.36,197.3,6.5,Canada,Saskatoon,Teal,Male,71
3093,Mercury,Topaz,33175.24,49294.03,139.5,7.2,Palestinian Territory,Naḩḩālīn,Orange,Female,25
3094,Chevrolet,Corvette,28291.51,49068.71,189.4,6.3,France,Rungis,Violet,Female,39
3095,Lamborghini,Murciélago,31455.18,24698.45,124.1,14.5,Brazil,Ourinhos,Blue,Female,71
3096,Audi,Coupe GT,23281.36,39718.42,170.3,5.2,Bosnia and Herzegovina,Derventa,Teal,Male,65
3097,Jaguar,XJ,17801.3,23449.08,126.3,13.8,Czech Republic,Ostroměř,Indigo,Male,52
3098,GMC,Savana 2500,77511.11,34883.53,164.2,5.0,Russia,Verkh-Usugli,Goldenrod,Female,58
3099,Dodge,Viper,14475.11,6792.39,183.1,7.3,Albania,Vranisht,Red,Female,43
3100,Hyundai,Santa Fe,11028.1,8267.19,187.5,7.7,China,Dongjiao,Blue,Female,61
3101,Ford,Mustang,63388.31,17024.21,215.2,9.2,China,Dongke,Teal,Female,65
3102,Toyota,Matrix,82724.96,38419.28,189.5,10.8,Philippines,Busuanga,Blue,Male,29
3103,Nissan,Pathfinder,98064.71,38930.53,197.1,6.2,China,Wuning,Red,Female,40
3104,Chrysler,Town & Country,90730.97,3077.82,227.2,11.9,Czech Republic,Raškovice,Turquoise,Male,31
3105,Lincoln,Mark VIII,53643.59,12530.51,125.8,7.6,China,Lidong,Orange,Male,31
3106,Infiniti,I,72100.06,17616.5,172.3,9.7,China,Sunduan,Orange,Male,73
3107,Nissan,Sentra,70838.75,12563.36,215.7,8.1,China,Heimahe,Maroon,Male,34
3108,Ford,Taurus,65533.94,31609.95,142.6,9.7,China,Taiping,Fuscia,Female,70
3109,Audi,Q5,38641.06,21228.29,225.9,7.2,Cuba,Palma Soriano,Purple,Female,34
3110,Subaru,Impreza,62701.19,14620.38,135.3,14.7,United States,Austin,Green,Female,22
3111,Volkswagen,Cabriolet,83825.85,36069.74,141.8,12.4,Indonesia,Labuhanjambu,Teal,Male,49
3112,Lincoln,Town Car,68330.25,24796.45,235.7,14.7,Malawi,Kasungu,Orange,Male,23
3113,Audi,A6,67626.75,7120.16,207.2,14.0,China,Yongheshi,Orange,Male,41
3114,Aston Martin,Vantage,95429.74,32016.31,219.3,3.0,Philippines,Buenavista,Orange,Female,63
3115,BMW,3 Series,23204.19,36743.54,131.4,11.7,Sweden,Boxholm,Purple,Male,40
3116,Ford,Excursion,78305.2,46240.49,123.3,10.0,New Zealand,Papatowai,Indigo,Male,59
3117,Volkswagen,New Beetle,46699.22,24070.9,147.4,2.3,Syria,‘Afrīn,Orange,Female,69
3118,BMW,745,47101.8,14354.5,136.4,9.1,China,Xuhui,Red,Female,51
3119,Audi,Allroad,90078.8,42042.48,153.7,2.1,Peru,Pomahuaca,Turquoise,Female,30
3120,Infiniti,I,16463.97,32998.56,187.3,13.1,China,Suicheng,Yellow,Female,60
3121,Pontiac,Firebird,38892.37,29900.58,127.8,14.7,Brazil,Reserva,Indigo,Male,37
3122,Mercedes-Benz,SLS-Class,84489.39,42865.22,226.6,13.1,Dominican Republic,Ensanche Luperón,Yellow,Female,71
3123,BMW,6 Series,37896.31,31666.13,139.4,10.1,Indonesia,Sepolong Timur,Orange,Male,56
3124,Dodge,Magnum,40524.61,25614.04,195.2,6.1,Indonesia,Panggungwinong,Crimson,Male,65
3125,Porsche,911,31029.17,12840.74,171.6,12.4,Philippines,Domampot,Turquoise,Male,53
3126,Mazda,323,50386.43,2910.09,239.9,10.5,China,Dajing,Pink,Female,54
3127,Ford,Econoline E250,84568.08,33512.87,137.6,5.8,Philippines,Cervantes,Pink,Female,35
3128,Dodge,Ram 1500,88554.94,17300.07,164.5,6.2,Philippines,Cartagena,Red,Male,21
3129,Audi,TT,54828.75,19458.45,144.9,12.4,Laos,Phonsavan,Fuscia,Female,70
3130,Ford,E350,21156.92,27486.17,136.2,3.2,Indonesia,Tomohon,Purple,Female,48
3131,Buick,Century,50195.78,41804.92,246.0,5.4,France,Nîmes,Pink,Male,41
3132,BMW,7 Series,58278.33,31206.15,188.5,10.3,China,Kangshan,Pink,Male,32
3133,Austin,Mini Cooper S,73815.19,44141.52,176.7,3.7,France,Nice,Green,Female,40
3134,Audi,Coupe GT,45041.82,16827.82,164.8,5.6,Russia,Odoyev,Khaki,Male,24
3135,Pontiac,Grand Am,58672.45,7640.42,153.0,2.1,China,Majiang,Green,Male,26
3136,Oldsmobile,Silhouette,58128.46,4669.19,189.1,11.3,Thailand,Yala,Orange,Male,55
3137,Ford,F250,17080.29,43398.65,181.5,5.1,Chile,San Bernardo,Aquamarine,Female,46
3138,GMC,Sierra 1500,73515.73,6832.08,191.8,2.5,Philippines,Payao,Mauv,Female,45
3139,Cadillac,CTS,93488.58,29676.51,124.7,6.5,China,Furongqiao,Puce,Male,25
3140,Ford,Escort,31488.04,4111.5,221.6,6.5,Russia,Russkaya Polyana,Yellow,Male,21
3141,Land Rover,Range Rover,53719.22,32855.92,167.4,4.1,Japan,Shibetsu,Purple,Female,69
3142,Lamborghini,Gallardo,45689.97,46917.78,162.5,14.6,Indonesia,Sekolan,Red,Male,71
3143,Kia,Spectra,20603.51,39142.78,213.1,3.0,Brazil,Boca do Acre,Mauv,Male,28
3144,Ford,Falcon,38254.1,32779.75,247.3,4.6,Mexico,La Esperanza,Yellow,Male,22
3145,Mazda,Protege,57420.97,14311.75,130.5,7.4,China,Wuying,Puce,Female,32
3146,Mitsubishi,Pajero,76983.98,2292.7,205.8,11.8,Hungary,Budapest,Turquoise,Female,68
3147,Mercedes-Benz,CL65 AMG,72415.34,9197.39,153.4,12.4,Ukraine,Brusyliv,Teal,Male,54
3148,Mercury,Cougar,73132.93,36256.24,125.6,6.7,China,Taibai,Violet,Male,38
3149,Chevrolet,Traverse,95453.07,19054.28,197.7,4.7,Thailand,Khlong Sam Wa,Goldenrod,Female,47
3150,Dodge,Ram Wagon B250,67801.04,49006.4,228.9,3.7,Argentina,El Soberbio,Blue,Female,57
3151,Infiniti,FX,51017.84,8627.49,123.3,2.0,Norway,Bodø,Mauv,Male,52
3152,Ford,Thunderbird,73871.25,19991.03,212.4,10.8,Cameroon,Mamfe,Puce,Female,52
3153,Scion,tC,78951.91,16928.84,204.5,2.1,Russia,Zvenigorod,Blue,Female,38
3154,Toyota,Tacoma,26136.0,6562.19,131.1,13.0,Thailand,Kamphaeng Phet,Mauv,Male,68
3155,Mercedes-Benz,CLK-Class,28440.8,15732.63,129.9,6.9,Israel,Lapid,Fuscia,Male,73
3156,Volkswagen,GTI,56923.88,33924.76,243.5,14.3,Nigeria,Toungo,Teal,Female,28
3157,BMW,M3,62357.74,27689.57,151.8,13.7,Indonesia,Gampingan,Green,Female,42
3158,Mercedes-Benz,GL-Class,84262.96,35687.53,219.4,5.0,Indonesia,Depok,Blue,Female,67
3159,Audi,A4,24370.13,28194.74,194.1,5.8,China,Dagang,Aquamarine,Male,65
3160,Chevrolet,Silverado 1500,75252.7,42729.01,220.2,10.6,Indonesia,Tangkolo,Maroon,Female,27
3161,Audi,90,76548.56,12546.38,140.2,8.3,Philippines,Bantay,Mauv,Male,22
3162,Lexus,GS,98997.06,34808.19,149.6,9.4,Indonesia,Ketanen,Turquoise,Male,46
3163,Oldsmobile,Cutlass Supreme,12950.66,37065.3,229.6,5.2,China,Luxi,Red,Male,47
3164,Buick,Electra,12176.5,22960.24,122.3,14.3,Indonesia,Wailebe,Puce,Female,32
3165,Subaru,Brat,67527.39,2869.99,227.7,10.7,Thailand,Ratchathewi,Green,Male,42
3166,Infiniti,Q,48355.23,32053.61,187.4,9.7,Philippines,Dagupan,Red,Female,71
3167,Mitsubishi,Diamante,81904.22,27423.63,225.4,10.8,Nigeria,Ikot-Ekpene,Teal,Female,47
3168,Volkswagen,Eurovan,22765.97,5231.39,195.2,5.9,China,Langxi,Pink,Female,54
3169,Lamborghini,Murciélago,13749.5,23265.39,186.6,6.8,Afghanistan,‘Alāqahdārī Gēlān,Maroon,Male,49
3170,Honda,Ridgeline,16602.86,6982.04,219.1,8.0,China,Yonggu,Green,Female,25
3171,Lincoln,LS,99190.17,2866.38,122.5,6.7,China,Daminggong,Fuscia,Female,68
3172,Honda,Element,59099.98,2038.14,207.6,10.1,United States,Savannah,Puce,Female,34
3173,Isuzu,Stylus,45248.71,34752.82,232.0,10.6,Indonesia,Komes,Fuscia,Male,75
3174,Porsche,911,96895.89,43088.31,217.4,5.8,Russia,Neyvo-Rudyanka,Teal,Female,58
3175,GMC,Savana 1500,31901.14,11882.0,129.4,8.5,Ukraine,Kosmach,Khaki,Female,49
3176,BMW,8 Series,71597.75,20545.65,241.5,4.8,Brazil,Araçatuba,Violet,Female,56
3177,Nissan,Altima,77359.26,2624.39,141.1,8.3,China,Liucun,Pink,Male,28
3178,Lamborghini,Diablo,83005.04,31868.07,201.1,10.2,China,Longhuashan,Fuscia,Female,20
3179,BMW,545,19796.16,5245.19,212.1,9.5,Argentina,Villa María,Orange,Male,48
3180,Volkswagen,Golf III,73515.45,9797.68,230.5,5.5,Jamaica,Linstead,Aquamarine,Female,35
3181,Lexus,RX Hybrid,87561.59,6537.83,170.5,10.0,Croatia,Kruševo,Mauv,Male,25
3182,Volvo,C70,68636.9,37493.15,166.6,10.5,Argentina,Jardín América,Puce,Male,67
3183,Chevrolet,Suburban 2500,16912.3,25235.27,143.7,10.5,China,Jieguanting,Orange,Male,71
3184,Saab,09-Mar,93644.07,47508.46,128.1,2.9,Indonesia,Bunisari,Puce,Female,55
3185,Lotus,Elise,64144.78,48675.35,138.4,14.3,Moldova,Donduşeni,Fuscia,Male,36
3186,Chevrolet,Colorado,12560.84,16925.94,217.9,2.1,China,Xinjiang,Blue,Female,59
3187,Chrysler,300M,40648.23,40389.39,158.9,7.9,United States,Warren,Pink,Male,71
3188,Toyota,Celica,21717.41,17268.71,200.7,14.5,Portugal,Portela,Khaki,Female,75
3189,Suzuki,Swift,63637.05,29252.09,186.5,4.5,Ukraine,Chernelytsya,Pink,Male,66
3190,Dodge,D350 Club,76408.18,39065.6,234.7,11.5,Indonesia,Delanggu,Violet,Male,70
3191,Mercedes-Benz,S-Class,34087.13,30155.02,208.7,9.0,Poland,Promna,Fuscia,Female,37
3192,Audi,S6,43662.22,46709.51,150.5,7.7,Indonesia,Balakasap,Turquoise,Female,29
3193,Audi,A4,19075.43,20604.55,221.8,3.2,South Africa,Lady Grey,Fuscia,Male,22
3194,Hyundai,Sonata,50750.72,21692.14,179.7,14.9,China,Nanhai,Turquoise,Female,70
3195,Ford,E250,19396.99,17526.08,198.2,14.8,Indonesia,Puutuga,Green,Male,29
3196,Lincoln,MKS,16722.37,39523.17,129.1,6.8,Greece,Tycheró,Green,Male,40
3197,Ford,Laser,12818.29,7645.36,242.4,8.8,Burkina Faso,Dori,Teal,Male,60
3198,Ford,Contour,30591.63,34659.12,193.1,7.1,Indonesia,Watubuku,Aquamarine,Male,61
3199,Ford,EXP,88095.89,34656.75,163.2,9.3,China,Dagui,Crimson,Female,62
3200,Saab,9000,84363.45,47397.81,168.0,14.8,Cuba,La Habana Vieja,Teal,Female,37
3201,Chevrolet,Corvette,42063.95,5442.77,143.4,9.6,United States,Dallas,Khaki,Female,42
3202,Pontiac,6000,65555.16,25552.47,198.0,10.4,Indonesia,Rabig,Purple,Female,37
3203,Ford,Focus,86717.94,19297.05,132.7,9.3,China,Danan,Maroon,Male,45
3204,Mercedes-Benz,W201,38164.33,46662.23,143.8,6.4,China,Wangwu,Fuscia,Female,43
3205,Ford,Mustang,67718.59,14172.09,161.8,11.9,Malawi,Mulanje,Maroon,Female,58
3206,Mitsubishi,Outlander,30342.94,20530.74,230.7,10.3,Russia,Nizhnyaya Tura,Mauv,Male,63
3207,Mazda,929,42620.63,46923.3,242.9,10.6,Thailand,Ban Talat Bueng,Green,Male,38
3208,Pontiac,Sunfire,83100.62,18401.14,214.0,5.6,Brazil,Trindade,Puce,Female,71
3209,Isuzu,Hombre,17778.92,13834.34,210.6,6.3,Peru,Marco,Indigo,Male,60
3210,Mercury,Lynx,59654.43,40104.05,140.5,11.9,Uganda,Jinja,Khaki,Female,46
3211,Nissan,350Z,60148.69,49947.3,238.3,13.4,Japan,Yuzawa,Mauv,Female,28
3212,Mazda,Miata MX-5,41039.64,31301.09,175.9,13.0,Portugal,Castelo de Vide,Maroon,Female,26
3213,Chevrolet,Avalanche 2500,92217.78,18807.64,185.5,14.5,Jordan,Ḩātim,Yellow,Female,68
3214,Saab,09-Mar,19405.44,23442.72,225.4,3.4,Portugal,Espinho,Pink,Male,61
3215,Dodge,Caravan,15998.71,32098.12,202.1,11.8,Mexico,Las Flores,Yellow,Male,67
3216,GMC,Vandura 2500,48081.91,10841.8,209.7,5.3,Russia,Strezhevoy,Indigo,Female,58
3217,Lincoln,Navigator L,80710.91,43134.16,125.9,8.5,Portugal,Calçada,Turquoise,Male,23
3218,Nissan,Xterra,31000.0,15920.37,205.9,2.4,Indonesia,Loa Janan,Turquoise,Female,31
3219,Ford,E-Series,18061.14,16542.56,137.8,6.3,Thailand,Amnat Charoen,Maroon,Male,72
3220,Infiniti,QX,14795.03,32374.03,169.5,10.8,China,Lianfa,Violet,Male,66
3221,Mercedes-Benz,500SEL,18119.53,38936.74,233.3,11.5,Thailand,Manorom,Red,Male,38
3222,Jaguar,XK,78258.71,17707.14,225.8,11.0,Portugal,Portelinha,Purple,Male,50
3223,Chevrolet,Prizm,28436.85,15491.27,215.5,6.9,China,Jiangpan,Mauv,Female,71
3224,Chevrolet,Camaro,64663.86,49997.05,202.1,12.3,Philippines,Teresa,Orange,Male,50
3225,Lexus,IS F,76468.22,30206.21,218.0,4.6,Tunisia,Carthage,Crimson,Female,38
3226,Pontiac,Aztek,47844.59,36557.48,122.8,14.5,China,Yukuriawat,Indigo,Male,63
3227,Nissan,350Z,44053.32,43537.16,140.2,12.2,China,Huanglong,Violet,Female,75
3228,Chevrolet,Beretta,36340.48,28988.93,197.1,13.0,Sweden,Perstorp,Crimson,Male,34
3229,Eagle,Talon,11227.68,14790.76,188.4,4.1,China,Shiqiao,Crimson,Female,67
3230,Bugatti,Veyron,12431.92,22344.86,224.5,5.2,Indonesia,Sorodot,Goldenrod,Female,32
3231,BMW,5 Series,68794.73,44179.15,233.2,11.4,Nigeria,Udi,Blue,Female,31
3232,Mitsubishi,Mirage,76069.99,25204.49,203.6,13.6,Nigeria,Gaya,Aquamarine,Female,51
3233,Maserati,Coupe,40933.42,47692.86,222.5,14.4,Indonesia,Dengok,Turquoise,Male,36
3234,BMW,3 Series,94022.73,3046.28,213.4,14.7,Indonesia,Ciparay,Pink,Female,26
3235,Dodge,Dakota,13183.22,47772.92,200.8,12.6,Ukraine,Kosiv,Pink,Female,44
3236,Pontiac,Turbo Firefly,96427.04,9649.84,179.4,10.3,Russia,Cherëmushki,Blue,Male,69
3237,Fillmore,Fillmore,28430.12,35288.33,184.3,8.4,Russia,Sal’sk,Red,Male,28
3238,Toyota,Sequoia,60126.15,35282.47,190.5,13.4,Mexico,Vista Hermosa,Orange,Female,72
3239,Jeep,Commander,36734.75,5673.88,134.5,3.1,Philippines,Buldon,Pink,Female,20
3240,Ford,Focus,99279.73,45970.87,159.6,5.9,Ukraine,Feodosiya,Yellow,Female,71
3241,Cadillac,Fleetwood,92163.34,49663.53,152.6,2.8,Indonesia,Waipukang,Blue,Male,60
3242,Saturn,S-Series,53925.74,48778.25,226.3,3.6,Brazil,Jaraguá do Sul,Puce,Female,52
3243,Merkur,XR4Ti,14587.2,30442.44,235.1,11.9,Poland,Małdyty,Mauv,Female,52
3244,Chrysler,Imperial,78993.29,39682.31,209.3,3.7,Greece,Mesiméri,Yellow,Female,70
3245,Saab,9000,49459.48,20107.76,158.0,3.5,North Korea,Sil-li,Green,Female,54
3246,Hummer,H3,92525.56,2593.52,183.4,5.8,China,Tianhe,Pink,Female,62
3247,GMC,Savana 3500,18458.32,31054.84,156.5,14.3,Nicaragua,Jinotega,Puce,Male,75
3248,Infiniti,G,49040.01,7202.16,232.5,4.1,Indonesia,Lamawalang,Fuscia,Female,55
3249,Acura,CL,35927.42,38162.76,183.8,3.0,China,Mingshan,Khaki,Male,63
3250,Audi,TT,10709.8,43430.64,226.3,13.2,Armenia,Shnogh,Crimson,Male,73
3251,Pontiac,Grand Am,42286.63,10061.76,132.6,13.0,Vietnam,Thị Trấn Việt Lâm,Puce,Male,73
3252,Mitsubishi,Mirage,73080.82,15175.79,205.6,12.3,Brazil,Lagoa da Prata,Maroon,Male,40
3253,Mazda,RX-8,72992.84,38651.06,146.9,11.0,Peru,Huachos,Pink,Male,27
3254,Ford,Taurus,88741.11,24421.73,165.0,4.7,China,Anren,Purple,Female,68
3255,MINI,Countryman,78415.76,44404.33,220.3,11.3,China,Machikou,Teal,Male,26
3256,MINI,Cooper Clubman,18015.49,13948.26,181.0,2.9,Syria,Kafr Zaytā,Violet,Male,58
3257,Acura,RL,38170.83,48548.55,241.1,8.2,Ireland,Templeogue,Pink,Female,48
3258,Toyota,Camry,77805.66,20065.67,239.5,5.3,United Kingdom,Glasgow,Yellow,Female,27
3259,Suzuki,Sidekick,50088.61,45947.0,125.5,3.7,Iran,Falāvarjān,Blue,Male,75
3260,Chevrolet,Express 1500,20792.94,33206.6,222.2,15.0,Czech Republic,Velká Bystřice,Crimson,Male,65
3261,Porsche,928,15373.4,19324.64,228.6,9.9,Portugal,Costa Nova do Prado,Turquoise,Female,42
3262,Dodge,Neon,99836.82,36684.6,163.4,14.2,Sweden,Ed,Mauv,Male,68
3263,Pontiac,GTO,79091.14,4651.24,247.3,9.8,China,Puyang,Puce,Male,48
3264,Cadillac,CTS-V,27918.9,29968.17,126.1,5.0,Brazil,Bastos,Violet,Male,57
3265,Volkswagen,Jetta,51554.96,39047.85,246.0,2.8,Yemen,Dhamār,Indigo,Female,37
3266,Mazda,CX-7,39743.36,19423.39,207.7,10.8,Thailand,Yang Chum Noi,Teal,Male,50
3267,Nissan,Frontier,53216.11,19520.29,189.3,12.1,China,Canggang,Blue,Female,57
3268,Mitsubishi,Pajero,97909.53,45062.53,190.6,3.5,Portugal,Várzea,Fuscia,Male,67
3269,Volvo,V70,17501.57,31191.24,134.4,8.3,France,Ussel,Puce,Male,31
3270,Volkswagen,Golf,33622.35,5616.81,249.8,14.2,China,Kan,Indigo,Female,67
3271,BMW,6 Series,48713.22,36277.81,164.0,13.5,Portugal,Corgo,Puce,Male,42
3272,Geo,Prizm,64521.05,39757.03,144.4,7.7,Czech Republic,Hrochův Týnec,Purple,Male,52
3273,Lincoln,Navigator,42574.58,17297.74,143.6,4.4,Vietnam,Đồng Mỏ,Aquamarine,Female,23
3274,Scion,FR-S,17772.54,23698.14,186.0,12.8,Czech Republic,Benešov nad Černou,Turquoise,Female,67
3275,Ford,Mustang,85750.51,10386.46,188.4,12.2,Philippines,Boac,Yellow,Male,38
3276,Cadillac,SRX,97752.93,38750.66,194.5,14.5,Canada,Salaberry-de-Valleyfield,Red,Female,74
3277,Oldsmobile,Silhouette,23174.9,10334.73,189.7,3.6,Russia,Khvatovka,Mauv,Male,60
3278,Mercedes-Benz,CL-Class,30708.54,4597.17,204.5,2.9,Russia,Voznesenskoye,Violet,Female,71
3279,Volkswagen,Golf,23307.83,11377.45,231.1,14.5,Colombia,Guaduas,Aquamarine,Male,51
3280,Volkswagen,GTI,91881.1,29161.74,240.2,6.2,Burkina Faso,Kokologo,Pink,Male,41
3281,Kia,Sportage,98709.71,37861.29,209.3,12.5,Indonesia,Nao,Aquamarine,Female,54
3282,BMW,X3,23862.04,23343.77,142.9,7.2,Guatemala,Santa Apolonia,Maroon,Female,25
3283,Land Rover,Discovery,60785.78,37638.4,219.6,8.7,Estonia,Jõhvi,Indigo,Female,37
3284,Chevrolet,Corvette,60766.73,35673.08,128.0,4.4,Indonesia,Siumate,Fuscia,Male,67
3285,Chevrolet,Silverado 1500,77706.09,7188.24,139.9,9.8,France,Vincennes,Khaki,Male,50
3286,Ford,Bronco,43299.5,30983.47,159.6,12.6,Guatemala,San Andrés Xecul,Yellow,Female,69
3287,Dodge,Ram 2500 Club,12771.5,15695.02,210.7,9.1,Indonesia,Puntaru,Violet,Female,51
3288,Mitsubishi,Precis,86519.36,9450.14,182.3,6.6,China,Zhuge,Khaki,Male,47
3289,Suzuki,Sidekick,91340.48,43960.84,180.6,13.6,Syria,‘Awaj,Aquamarine,Female,68
3290,Maybach,57,30234.67,38419.64,187.0,5.1,Philippines,Pawak,Khaki,Male,27
3291,Isuzu,Ascender,24788.47,34068.43,181.8,2.5,China,Yangwei,Teal,Male,30
3292,Toyota,Xtra,35492.6,37075.9,180.0,3.6,Tajikistan,Gharavŭtí,Maroon,Male,43
3293,Suzuki,SX4,80490.34,5348.33,143.7,11.1,United States,El Paso,Fuscia,Female,52
3294,Buick,LeSabre,78351.17,15382.68,155.1,11.0,Yemen,Al Mashāf,Orange,Female,74
3295,GMC,Terrain,35198.82,26304.13,228.0,14.5,France,Aulnay-sous-Bois,Aquamarine,Female,63
3296,Kia,Soul,35971.18,47639.29,214.0,12.9,France,Blois,Teal,Female,46
3297,GMC,3500,17499.18,49778.81,130.9,9.9,Mexico,Lazaro Cardenas,Turquoise,Male,62
3298,Porsche,911,30525.22,36590.74,195.2,14.8,Indonesia,Bipolo,Indigo,Male,26
3299,Mercedes-Benz,GL-Class,32106.01,49963.23,141.8,2.9,Russia,Gusinoozyorsk,Blue,Female,25
3300,Cadillac,XLR-V,68546.28,6386.47,121.1,11.3,Iran,Rāmsar,Puce,Male,61
3301,Pontiac,Grand Prix,58796.31,33507.75,147.0,15.0,Brazil,Oliveira,Indigo,Male,63
3302,Isuzu,Amigo,54365.2,43839.14,156.8,14.0,China,Puqian,Crimson,Male,56
3303,Chrysler,Town & Country,36527.54,18187.6,245.2,11.8,Sweden,Luleå,Turquoise,Female,58
3304,Ford,F-Series,60358.54,18749.36,146.0,3.0,Philippines,Talisay,Yellow,Male,41
3305,Ford,F150,41340.28,2871.42,134.3,2.7,Cuba,Artemisa,Maroon,Female,43
3306,Audi,V8,84954.34,45177.9,146.3,7.2,China,Hadapu Zhen,Puce,Male,73
3307,Dodge,Ram 3500,85966.92,25489.16,149.6,14.7,Macedonia,Радишани,Yellow,Male,33
3308,Suzuki,Reno,87971.8,15895.49,160.9,9.1,Japan,Nagano-shi,Orange,Female,59
3309,Toyota,Tercel,52474.6,6724.94,156.8,7.1,Canada,Banff,Mauv,Female,36
3310,Ford,Fusion,83519.39,8742.63,241.3,13.9,Brazil,Tefé,Khaki,Female,54
3311,Honda,S2000,71535.76,37942.49,208.0,3.9,Portugal,Portelinha,Pink,Female,72
3312,Infiniti,I,36854.63,12354.69,167.7,13.1,China,Lantian,Goldenrod,Male,70
3313,BMW,530,76767.03,3738.78,135.4,6.5,Albania,Bërxull,Teal,Male,39
3314,Ford,Taurus,88270.6,34719.71,169.8,13.1,Malaysia,Kota Kinabalu,Red,Female,37
3315,Jeep,Wrangler,43496.6,28984.06,147.6,6.9,Brazil,Monte Mor,Mauv,Female,71
3316,Geo,Tracker,48775.75,24997.86,205.8,14.0,China,Baimaqiao,Maroon,Male,40
3317,Chevrolet,Monte Carlo,68992.54,28281.46,192.9,6.7,China,Lingshan,Aquamarine,Female,22
3318,Ford,Thunderbird,55067.23,43117.86,197.1,8.2,Philippines,Pagatin,Aquamarine,Female,59
3319,Lotus,Exige,70814.79,5414.5,151.1,3.6,Iran,Gonbad-e Kāvūs,Purple,Male,44
3320,GMC,Suburban 2500,29646.64,2790.84,188.7,8.4,Indonesia,Margahayukencana,Purple,Female,31
3321,Hyundai,Tiburon,45711.12,4106.36,215.0,6.6,Canada,Penhold,Crimson,Male,44
3322,Jeep,Cherokee,82082.97,16801.84,224.0,2.4,Philippines,Cabuyao,Aquamarine,Female,30
3323,BMW,M5,18658.03,32991.93,221.3,9.2,Czech Republic,Krmelín,Fuscia,Male,50
3324,Kia,Carens,55790.43,44526.31,228.5,14.1,Russia,Pospelikha,Puce,Male,48
3325,Audi,A3,59059.3,32799.09,168.0,2.5,United States,Washington,Aquamarine,Female,58
3326,Isuzu,Ascender,37560.79,49225.63,217.8,11.8,Russia,Bolkhov,Green,Female,23
3327,Cadillac,XLR-V,10697.4,30667.65,157.4,3.7,Singapore,Singapore,Yellow,Female,75
3328,Chevrolet,3500,90179.39,38102.9,146.6,12.5,Saint Kitts and Nevis,Nicola Town,Crimson,Male,68
3329,Nissan,Maxima,37757.51,6633.84,248.8,4.1,Laos,Thakhèk,Orange,Female,23
3330,Subaru,Legacy,98282.67,49593.3,241.8,2.6,Portugal,Igreja,Blue,Female,22
3331,Isuzu,Hombre Space,79287.58,25452.88,153.2,13.8,Argentina,Caucete,Purple,Male,25
